address;zip_code;price;sell_date;sell_type;price_per_sq_m;no_rooms;housing_type;size_in_sq_m;year_of_construction;price_change_in_pct;zip_code_num
Klokkestabelen 60;9000 Aalborg;2800000;06-09-2015;Alm. Salg;250000;40;Rækkehus;1120;19880;-30;9000
Skipper Clements Gade 1, 1. TH;9000 Aalborg;1750000;01-09-2015;Alm. Salg;184210;30;Lejlighed;950;19120;-30;9000
H. C. Andersens Vej 26, 1. MF;9000 Aalborg;715000;01-09-2015;Alm. Salg;132400;20;Lejlighed;540;19670;-30;9000
Schleppegrellsgade 67, 3. TH;9000 Aalborg;1650000;25-08-2015;Alm. Salg;181310;30;Lejlighed;910;19330;-30;9000
Niels Ebbesens Gade 12A, 3. TV;9000 Aalborg;1350000;24-08-2015;Alm. Salg;214280;20;Lejlighed;630;19100;-30;9000
Kayerødsgade 9, 1. TV;9000 Aalborg;800000;21-08-2015;Alm. Salg;200000;20;Lejlighed;400;18810;-30;9000
Bakkevænget 3;9000 Aalborg;3600000;19-08-2015;Alm. Salg;191480;50;Villa;1880;19730;-30;9000
Brettevillesgade 5, 3. TH;9000 Aalborg;1155000;18-08-2015;Alm. Salg;251080;20;Lejlighed;460;18880;-30;9000
Solbyen 29;9000 Aalborg;2800000;18-08-2015;Alm. Salg;254540;50;Rækkehus;1100;19480;-30;9000
Norgesgade 20, 1. TV;9000 Aalborg;1450000;14-08-2015;Alm. Salg;201380;30;Lejlighed;720;19200;-30;9000
Sjællandsgade 44, 2. TV;9000 Aalborg;1042500;09-08-2015;Alm. Salg;165470;20;Lejlighed;630;19360;-30;9000
Rafns Alle 5;9000 Aalborg;11550000;05-08-2015;Alm. Salg;345800;70;Villa;3340;19180;-30;9000
Rostrupsvej 9, ST;9000 Aalborg;2525000;04-08-2015;Alm. Salg;341210;30;Lejlighed;740;19220;-30;9000
Solbyen 28;9000 Aalborg;3400000;31-07-2015;Alm. Salg;309090;40;Rækkehus;1100;19480;-30;9000
Prinsensgade 39, 1. TH;9000 Aalborg;1065000;28-07-2015;Alm. Salg;152140;20;Lejlighed;700;19370;-30;9000
Hasserisvej 116, 1. TH;9000 Aalborg;3185000;26-07-2015;Alm. Salg;292200;30;Lejlighed;1090;19000;-30;9000
Ritavej 25;9000 Aalborg;1850000;24-07-2015;Alm. Salg;166660;40;Villa;1110;19650;-30;9000
Sofievej 238, 3;9000 Aalborg;1165000;21-07-2015;Alm. Salg;130890;20;Lejlighed;890;19630;-30;9000
Riishøjsvej 16, 2. TH;9000 Aalborg;1250000;21-07-2015;Alm. Salg;192300;20;Lejlighed;650;19770;-30;9000
Platanvej 3;9000 Aalborg;3760000;21-07-2015;Alm. Salg;221170;60;Villa;1700;19600;-30;9000
Vendsysselgade 24, 1. TV;9000 Aalborg;1063000;18-07-2015;Alm. Salg;177160;20;Lejlighed;600;19510;-30;9000
Hobrovej 58, 4. TH;9000 Aalborg;1545000;12-07-2015;Alm. Salg;167930;40;Lejlighed;920;19520;-30;9000
Nordens Huse 11;9000 Aalborg;3200000;06-07-2015;Alm. Salg;231880;40;Villa;1380;19950;-30;9000
Toften 10;9000 Aalborg;3100000;03-07-2015;Alm. Salg;191350;50;Villa;1620;19760;-30;9000
Stuhrs Brygge 19, 1. TH;9000 Aalborg;2575000;02-07-2015;Alm. Salg;238420;30;Lejlighed;1080;20050;-30;9000
Nørregade 14, 2;9000 Aalborg;2290000;30-06-2015;Alm. Salg;210090;20;Lejlighed;1090;18890;-30;9000
Ritavej 23;9000 Aalborg;1600000;28-06-2015;Alm. Salg;155330;40;Villa;1030;19370;-30;9000
Peder Skrams Gade 5, ST. TV;9000 Aalborg;1250000;26-06-2015;Alm. Salg;198410;20;Lejlighed;630;19340;-30;9000
Kirkegårdsgade 2, 2. TH;9000 Aalborg;1160000;16-06-2015;Alm. Salg;200000;20;Lejlighed;580;19110;-30;9000
Haraldsvej 9;9000 Aalborg;1650000;16-06-2015;Alm. Salg;130950;40;Villa;1260;19510;-30;9000
Sverigesgade 11, 1. TV;9000 Aalborg;1550000;11-06-2015;Alm. Salg;218300;30;Lejlighed;710;19180;-30;9000
Østre Alle 11, 1;9000 Aalborg;1500000;11-06-2015;Alm. Salg;166660;20;Lejlighed;900;19200;-30;9000
Kastetvej 52, ST. TV;9000 Aalborg;1055000;08-06-2015;Alm. Salg;164840;30;Lejlighed;640;19280;-30;9000
Ryes Passage 4, ST. TH;9000 Aalborg;1885000;03-06-2015;Alm. Salg;285600;30;Lejlighed;660;19150;-30;9000
Fyrrebakken 16, ST. TH;9000 Aalborg;1448000;03-06-2015;Alm. Salg;195670;30;Lejlighed;740;19590;-30;9000
Peder Skrams Gade 5, 1. TH;9000 Aalborg;1215000;03-06-2015;Alm. Salg;178670;20;Lejlighed;680;19340;-30;9000
Danmarksgade 27A, 2;9000 Aalborg;3398000;29-05-2015;Alm. Salg;167380;60;Lejlighed;2030;18990;-30;9000
Danmarksgade 77, ST. TV;9000 Aalborg;1180000;25-05-2015;Alm. Salg;157330;20;Lejlighed;750;18960;-30;9000
Hasserisvej 291A;9000 Aalborg;4080000;19-05-2015;Alm. Salg;240000;50;Villa;1700;20020;-30;9000
Metavej 10;9000 Aalborg;2175000;17-05-2015;Alm. Salg;159920;50;Villa;1360;19750;-30;9000
Rantzausgade 20, 1. TV;9000 Aalborg;1350000;15-05-2015;Alm. Salg;173070;30;Lejlighed;780;18940;-30;9000
Nældevej 3;9000 Aalborg;1940000;06-05-2015;Alm. Salg;139560;70;Villa;1390;19620;-30;9000
Egholmsgade 2, 4. MF;9000 Aalborg;1650000;04-05-2015;Alm. Salg;170100;40;Lejlighed;970;19000;-30;9000
Louisegade 16, 1. TV;9000 Aalborg;1400000;29-04-2015;Alm. Salg;208950;30;Lejlighed;670;18950;-30;9000
Oldfuxvej 16;9000 Aalborg;5050000;24-04-2015;Alm. Salg;218610;70;Villa;2310;19680;-30;9000
Sønderbro 19, 1. TV;9000 Aalborg;1065000;24-04-2015;Alm. Salg;186840;20;Lejlighed;570;19430;-30;9000
Vingårdsgade 32, 2. TH;9000 Aalborg;1160000;23-04-2015;Alm. Salg;175750;20;Lejlighed;660;19310;-30;9000
Reberbansgade 62, ST. TH;9000 Aalborg;1120000;17-04-2015;Alm. Salg;238290;30;Lejlighed;470;18960;-30;9000
Vestre Fjordvej 32, 4. TV;9000 Aalborg;725000;16-04-2015;Alm. Salg;185890;20;Lejlighed;390;19390;-30;9000
Reberbansgade 13B, 1. TV;9000 Aalborg;1225000;16-04-2015;Alm. Salg;182830;30;Lejlighed;670;19000;-30;9000
Christiansgade 17, 1;9000 Aalborg;1675000;08-04-2015;Alm. Salg;145650;40;Lejlighed;1150;18900;-30;9000
Golfhaven 4, 3. TH;9000 Aalborg;2350000;07-04-2015;Alm. Salg;207960;30;Lejlighed;1130;20130;-30;9000
Rundvejen 11;9000 Aalborg;1930000;01-04-2015;Alm. Salg;137850;40;Villa;1400;19370;-30;9000
Valmuemarken 4;9000 Aalborg;2907500;29-03-2015;Alm. Salg;206200;50;Villa;1410;19550;-30;9000
Åvangen 8;9000 Aalborg;2425000;29-03-2015;Alm. Salg;240090;40;Villa;1010;19500;-30;9000
Vestre Fjordvej 46, 2. TV;9000 Aalborg;875000;26-03-2015;Alm. Salg;148300;20;Lejlighed;590;19380;-30;9000
Th. Sauers Vej 13F;9000 Aalborg;1785000;25-03-2015;Alm. Salg;198330;40;Rækkehus;900;19540;-30;9000
Østre Kanalgade 18, 2. TV;9000 Aalborg;2764500;17-03-2015;Alm. Salg;246830;40;Lejlighed;1120;19960;-30;9000
Hadsundvej 86H, 1. TV;9000 Aalborg;1155000;13-03-2015;Alm. Salg;131250;40;Lejlighed;880;19690;-30;9000
Holbergsgade 24, 3. TH;9000 Aalborg;1300000;12-03-2015;Alm. Salg;144440;30;Lejlighed;900;19120;-30;9000
Søndergade 24, ST. TV;9000 Aalborg;1450000;11-03-2015;Alm. Salg;204220;30;Lejlighed;710;19050;-30;9000
Jeppevej 3;9000 Aalborg;2725000;10-03-2015;Alm. Salg;212890;30;Villa;1280;19610;-30;9000
Lillisvej 10;9000 Aalborg;4475000;10-03-2015;Alm. Salg;298330;80;Villa;1500;19530;-30;9000
Lektorvej 50;9000 Aalborg;2600000;06-03-2015;Alm. Salg;178080;60;Villa;1460;19600;-30;9000
Hadsundvej 86G, 1. TH;9000 Aalborg;1240000;04-03-2015;Alm. Salg;140900;40;Lejlighed;880;19690;-30;9000
Solbyen 32;9000 Aalborg;3585000;03-03-2015;Alm. Salg;325900;60;Rækkehus;1100;19490;-30;9000
Østerbro 57, ST. TV;9000 Aalborg;970000;23-02-2015;Alm. Salg;151560;20;Lejlighed;640;19340;-30;9000
Vestre Fjordvej 46, 2. TH;9000 Aalborg;875000;18-02-2015;Alm. Salg;148300;20;Lejlighed;590;19380;-30;9000
Poul Paghs Gade 27, 1. TH;9000 Aalborg;1015000;13-02-2015;Alm. Salg;169160;20;Lejlighed;600;19100;-30;9000
Østerbro 70, 2. TV;9000 Aalborg;1160000;13-02-2015;Alm. Salg;148710;30;Lejlighed;780;19250;-30;9000
Ullavej 36;9000 Aalborg;1650000;08-02-2015;Alm. Salg;148640;40;Rækkehus;1110;19660;-30;9000
