address;zip_code;price;sell_date;sell_type;price_per_sq_m;no_rooms;housing_type;size_in_sq_m;year_of_construction;price_change_in_pct;zip_code_num;long;lat
oestergravensgade 12, ST. TH;9000 Aalborg;1130000;03-06-2015;Alm. Salg;198240;20;Lejlighed;570;18890;-40;9000;9927859;57045956
oestervangsvej 13;9000 Aalborg;2270000;08-06-2015;Alm. Salg;157630;50;Villa;1440;19240;-50;9000;996086;57039864
oestervangsvej 42;9000 Aalborg;655164;12-11-2015;Andet;55050;50;Villa;1190;19380;0;9000;9964948;57039106
oestre Alle 11, 1;9000 Aalborg;1500000;11-06-2015;Alm. Salg;166660;20;Lejlighed;900;19200;-30;9000;9947868;57043636
oestre Alle 32, 2. TH;9000 Aalborg;1515000;19-06-2015;Alm. Salg;199340;30;Lejlighed;760;19200;10;9000;9946319;57042658
oestre Alle 6;9000 Aalborg;1960000;24-06-2015;Alm. Salg;167520;50;Raekkehus;1170;19180;-40;9000;994777;57044355
oestre Havnegade 42, 1. TV;9000 Aalborg;5200000;15-10-2015;Alm. Salg;281080;40;Lejlighed;1850;20150;0;9000;9935623;57048501
oestre Havnegade 42, 2. TH;9000 Aalborg;6375000;29-10-2015;Alm. Salg;293770;40;Lejlighed;2170;20150;0;9000;9935623;57048501
oestre Havnegade 42, 3. TH;9000 Aalborg;6510000;07-05-2015;Alm. Salg;300000;40;Lejlighed;2170;20150;0;9000;9935623;57048501
oestre Havnegade 42, 4. TH;9000 Aalborg;6725000;05-05-2015;Alm. Salg;309900;40;Lejlighed;2170;20150;0;9000;9935623;57048501
oestre Havnegade 42, 4. TV;9000 Aalborg;5650000;20-04-2015;Alm. Salg;305400;40;Lejlighed;1850;20150;0;9000;9935623;57048501
oestre Havnegade 42, 5. TV;9000 Aalborg;5800000;27-04-2015;Alm. Salg;313510;40;Lejlighed;1850;20150;0;9000;9935623;57048501
oestre Havnegade 42, 6. TV;9000 Aalborg;5950000;14-04-2015;Alm. Salg;321620;40;Lejlighed;1850;20150;0;9000;9935623;57048501
oestre Havnegade 42, 9. TV;9000 Aalborg;6500000;05-10-2015;Alm. Salg;351350;40;Lejlighed;1850;20150;0;9000;9935623;57048501
oestre Havnegade 44, 1. TV;9000 Aalborg;3000000;20-04-2015;Alm. Salg;220580;40;Lejlighed;1360;20150;0;9000;9935648;57048138
oestre Havnegade 44, 2. TV;9000 Aalborg;3150000;17-04-2015;Alm. Salg;231610;40;Lejlighed;1360;20150;0;9000;9935648;57048138
oestre Havnegade 44, 4. TV;9000 Aalborg;3450000;15-04-2015;Alm. Salg;253670;40;Lejlighed;1360;20150;0;9000;9935648;57048138
oestre Havnegade 44, 5. TH;9000 Aalborg;2800000;18-05-2015;Alm. Salg;264150;30;Lejlighed;1060;20150;0;9000;9935648;57048138
oestre Havnegade 44, ST. TV;9000 Aalborg;2800000;30-04-2015;Alm. Salg;205880;40;Lejlighed;1360;20150;0;9000;9935648;57048138
oestre Havnegade 46, 2. TH;9000 Aalborg;2550000;23-04-2015;Alm. Salg;247570;30;Lejlighed;1030;20150;0;9000;9935351;57048123
oestre Havnegade 46, 3. TH;9000 Aalborg;2650000;30-04-2015;Alm. Salg;257280;30;Lejlighed;1030;20150;0;9000;9935351;57048123
oestre Havnegade 50, ST. TV;9000 Aalborg;4700000;28-05-2015;Alm. Salg;276470;40;Lejlighed;1700;20150;0;9000;9934744;57048097
oestre Havnegade 52, 4. MF;9000 Aalborg;4400000;12-05-2015;Alm. Salg;289470;30;Lejlighed;1520;20150;0;9000;993469;5704834
oestre Havnegade 52, 8. MF;9000 Aalborg;4900000;01-05-2015;Alm. Salg;322360;30;Lejlighed;1520;20150;0;9000;993469;5704834
oestre Havnegade 52, ST. MF;9000 Aalborg;3900000;07-05-2015;Alm. Salg;256570;30;Lejlighed;1520;20150;0;9000;993469;5704834
oestre Kanalgade 18, 2. TV;9000 Aalborg;2764500;17-03-2015;Alm. Salg;246830;40;Lejlighed;1120;19960;-30;9000;9914843;57053899
oegade 21, 1. TH;9000 Aalborg;2025000;24-09-2015;Alm. Salg;222520;30;Lejlighed;910;18980;-30;9000;9921369;57043457
oegade 25, 4. TH;9000 Aalborg;1320000;26-01-2015;Alm. Salg;155290;30;Lejlighed;850;19010;-50;9000;9921307;57043101
oerestrupsvej 10, 1. TV;9000 Aalborg;1098000;07-05-2015;Alm. Salg;127670;30;Lejlighed;860;19670;0;9000;9966625;57042557
oerestrupsvej 10, 2. MF;9000 Aalborg;650000;14-09-2015;Alm. Salg;120370;20;Lejlighed;540;19670;0;9000;9966625;57042557
oerestrupsvej 12, ST. MF;9000 Aalborg;550000;29-09-2015;Alm. Salg;127900;10;Lejlighed;430;19670;-40;9000;9966609;57042363
oerestrupsvej 16, ST. TV;9000 Aalborg;725000;26-05-2015;Alm. Salg;76310;40;Lejlighed;950;19670;0;9000;9966588;57042064
oerestrupsvej 32, 2. TH;9000 Aalborg;800000;08-09-2015;Alm. Salg;96380;30;Lejlighed;830;19670;-40;9000;9968226;57042009
oevangen 15;9000 Aalborg;950000;02-01-2015;Fam. Salg;84820;50;Villa;1120;19630;0;9000;9922263;5703026
oevangen 8;9000 Aalborg;2425000;29-03-2015;Alm. Salg;240090;40;Villa;1010;19500;-30;9000;9921773;57030329
aeblevangen 1;9000 Aalborg;2095000;10-03-2015;Alm. Salg;167600;50;Villa;1250;19710;-50;9000;9866377;57032943
Abelsvej 19;9000 Aalborg;2100000;03-04-2015;Alm. Salg;194440;30;Villa;1080;19670;-40;9000;995438;57027272
Absalonsgade 17, 1. TH;9000 Aalborg;1235000;18-12-2015;Alm. Salg;212930;20;Lejlighed;580;19390;-10;9000;9907474;57051457
Alfavej 22;9000 Aalborg;2955000;20-05-2015;Alm. Salg;242210;40;Villa;1220;19860;0;9000;9874854;57048008
Alfavej 27;9000 Aalborg;2725000;17-03-2015;Alm. Salg;208010;40;Villa;1310;19880;-40;9000;9874329;57047353
Alfavej 32;9000 Aalborg;3225000;16-04-2015;Alm. Salg;195450;50;Villa;1650;19880;0;9000;9875841;57047333
Alfred Munkholms Vej 24;9000 Aalborg;4995000;15-05-2015;Alm. Salg;268540;50;Villa;1860;20070;0;9000;9864398;57026166
Algade 58, 3. TV;9000 Aalborg;2200000;14-04-2015;Alm. Salg;167930;30;Lejlighed;1310;19300;0;9000;9916414;57048372
Anders Borks Vej 4, 1. TV;9000 Aalborg;1430000;01-06-2015;Alm. Salg;210290;20;Lejlighed;680;19300;-40;9000;990846;57047043
Anders Borks Vej 4, 3. TV;9000 Aalborg;1100000;19-10-2015;Alm. Salg;200000;20;Lejlighed;550;19300;0;9000;990846;57047043
Anneberghaaj 8;9000 Aalborg;4520000;22-09-2015;Alm. Salg;188330;80;Villa;2400;19340;0;9000;9897134;57049959
Annebergvej 21, 2. 4;9000 Aalborg;1160000;21-09-2015;Alm. Salg;203500;20;Lejlighed;570;18900;-30;9000;9902482;57049669
B.S. Ingemanns Vej 8;9000 Aalborg;2000000;15-04-2015;Alm. Salg;185180;40;Villa;1080;19650;-50;9000;9967107;57038936
Baage Alle 6;9000 Aalborg;5750000;25-08-2015;Alm. Salg;359370;60;Villa;1600;19310;-40;9000;9899236;57045773
Baagesvinget 42;9000 Aalborg;2500000;29-05-2015;Alm. Salg;192300;50;Villa;1300;20130;-40;9000;9960933;57022424
Bakkevaenget 3;9000 Aalborg;3600000;19-08-2015;Alm. Salg;191480;50;Villa;1880;19730;-30;9000;9889771;57040503
Baldersgade 5;9000 Aalborg;2150000;09-09-2015;Alm. Salg;195450;30;Villa;1100;19360;-40;9000;9946659;57037334
Bejsebakkevej 91;9000 Aalborg;2675000;15-03-2015;Alm. Salg;121040;80;Villa;2210;19650;-40;9000;9892091;57025698
Bellahaaj 7;9000 Aalborg;3220000;05-10-2015;Alm. Salg;231650;40;Villa;1390;19770;10;9000;9962062;57036981
Benediktevej 9;9000 Aalborg;3283378;03-10-2015;Alm. Salg;288010;60;Villa;1140;19500;0;9000;9890726;57046565
Bernstorffsgade 4;9000 Aalborg;2750000;26-04-2015;Alm. Salg;154490;70;Villa;1780;19340;-50;9000;9945529;57039817
Betavej 14;9000 Aalborg;1600000;07-05-2015;Fam. Salg;93560;60;Villa;1710;19900;0;9000;9877613;57045726
Birkevej 26;9000 Aalborg;1480000;08-12-2015;Andet;84570;60;Villa;1750;19710;0;9000;9962565;57041429
Bispensgade 32, 2. TV;9000 Aalborg;1595000;03-12-2015;Alm. Salg;192160;20;Lejlighed;830;19000;0;9000;9917027;57049534
Bispensgade 32A, 1;9000 Aalborg;1545000;29-04-2015;Alm. Salg;175560;30;Lejlighed;880;19000;0;9000;9917016;57049746
Bispensgade 32A, ST;9000 Aalborg;1545000;20-04-2015;Alm. Salg;175560;30;Lejlighed;880;19000;0;9000;9917016;57049746
Blegdalsparken 45, 2. TH;9000 Aalborg;1534250;05-01-2015;Fam. Salg;112810;40;Lejlighed;1360;19720;0;9000;9890906;5703225
Blegdalsparken 64;9000 Aalborg;3525000;22-10-2015;Alm. Salg;214930;60;Villa;1640;19690;0;9000;9886216;57033192
Blomstermarken 115, ST. TH;9000 Aalborg;1400000;12-01-2015;Alm. Salg;145830;40;Lejlighed;960;19700;-20;9000;989991;57026217
Blomstermarken 117, 1. TH;9000 Aalborg;1300000;07-10-2015;Alm. Salg;131310;40;Lejlighed;990;19700;-30;9000;9899634;57026255
Blomstermarken 99, 1. TV;9000 Aalborg;1300000;02-10-2015;Alm. Salg;131310;40;Lejlighed;990;19700;-40;9000;9900903;57026677
Borgergade 24, 4. TV;9000 Aalborg;1185000;13-09-2015;Alm. Salg;179540;30;Lejlighed;660;18970;0;9000;9914625;57051723
Borgergade 24, ST. MF;9000 Aalborg;549000;30-09-2015;Alm. Salg;130710;20;Lejlighed;420;18970;0;9000;9914625;57051723
Borgergade 25, 1. TH;9000 Aalborg;1700000;28-01-2015;Alm. Salg;212500;30;Lejlighed;800;19080;-30;9000;9914545;57051541
Borgergade 32, 1. TH;9000 Aalborg;1490000;30-04-2015;Alm. Salg;163730;40;Lejlighed;910;19170;-40;9000;9913608;57051857
Borgergade 6, 4. TH;9000 Aalborg;2305000;29-09-2015;Alm. Salg;169480;40;Lejlighed;1360;18970;-30;9000;9917797;57051188
Borgmestervaenget 1, 2. TH;9000 Aalborg;1705000;28-01-2015;Alm. Salg;187360;30;Lejlighed;910;19300;-30;9000;9908895;57047199
Borgmestervaenget 1, 3. TV;9000 Aalborg;1800000;26-01-2015;Alm. Salg;200000;30;Lejlighed;900;19300;-30;9000;9908895;57047199
Borgmestervaenget 10, ST. TV;9000 Aalborg;962500;18-03-2015;Alm. Salg;163130;20;Lejlighed;590;19390;-40;9000;9909537;57047665
Borgmestervaenget 12, 1. TH;9000 Aalborg;1215000;10-06-2015;Alm. Salg;205930;20;Lejlighed;590;19390;10;9000;9909597;57047789
Borgmestervaenget 12, 4. TV;9000 Aalborg;1250000;19-04-2015;Alm. Salg;208330;20;Lejlighed;600;19390;0;9000;9909597;57047789
Borgmestervaenget 3, 2. TH;9000 Aalborg;788000;09-12-2015;Fam. Salg;117610;20;Lejlighed;670;19310;0;9000;9908967;57047348
Boulevarden 18B, 1;9000 Aalborg;3500000;23-10-2015;Alm. Salg;158370;60;Lejlighed;2210;19160;0;9000;9918622;57046321
Boulevarden 23, 3. TV;9000 Aalborg;1232500;12-10-2015;Fam. Salg;97040;50;Lejlighed;1270;18960;0;9000;9918466;57044881
Boulevarden 35, 1;9000 Aalborg;1450000;07-02-2015;Alm. Salg;185890;30;Lejlighed;780;18950;-30;9000;9918635;57043898
Brettevillesgade 10C, 1;9000 Aalborg;1300000;24-10-2015;Alm. Salg;216660;20;Lejlighed;600;18800;0;9000;993232;57045577
Brettevillesgade 11, 1. TH;9000 Aalborg;1050000;05-05-2015;Alm. Salg;175000;30;Lejlighed;600;18780;0;9000;9932474;57045378
Brettevillesgade 11, 1. TV;9000 Aalborg;1050000;23-03-2015;Alm. Salg;223400;20;Lejlighed;470;18780;-40;9000;9932474;57045378
Brettevillesgade 5, 1. TH;9000 Aalborg;1350000;12-11-2015;Alm. Salg;160710;20;Lejlighed;840;18880;0;9000;9932736;57045773
Brettevillesgade 5, 3. TH;9000 Aalborg;1155000;18-08-2015;Alm. Salg;251080;20;Lejlighed;460;18880;-30;9000;9932736;57045773
Brohusgade 9, 2. TV;9000 Aalborg;2495000;08-05-2015;Alm. Salg;242230;30;Lejlighed;1030;19960;0;9000;9915304;57053539
Brohusgade 9, 4. TH;9000 Aalborg;2312500;18-05-2015;Alm. Salg;243420;30;Lejlighed;950;19960;0;9000;9915304;57053539
Budolfi Plads 3, 2. TV;9000 Aalborg;1587500;15-04-2015;Alm. Salg;145640;30;Lejlighed;1090;19350;0;9000;9919375;57047411
Budolfi Plads 7, 1. TV;9000 Aalborg;1175000;08-01-2015;Alm. Salg;167850;20;Lejlighed;700;19380;0;9000;9919197;57047146
Bygaden 24A, 1;9000 Aalborg;2700000;05-10-2015;Alm. Salg;146730;50;Lejlighed;1840;19060;-30;9000;9870732;57027524
Bygaden 24F;9000 Aalborg;3775000;01-04-2015;Alm. Salg;213270;50;Villa;1770;19980;-20;9000;9869631;57027969
Bygaden 32D;9000 Aalborg;2650000;18-09-2015;Alm. Salg;222680;40;Raekkehus;1190;19860;0;9000;9869745;57026215
Carit Etlars Gade 10, 1. TH;9000 Aalborg;399000;26-05-2015;Alm. Salg;102300;10;Lejlighed;390;19350;0;9000;9950307;5704447
Carit Etlars Gade 10, ST. TV;9000 Aalborg;1665000;20-03-2015;Alm. Salg;205550;20;Lejlighed;810;19350;10;9000;9950307;5704447
Carit Etlars Gade 5, 1. TV;9000 Aalborg;1139000;21-12-2015;Fam. Salg;207090;20;Lejlighed;550;19000;0;9000;9950425;57044673
Carl Plougs Vej 10;9000 Aalborg;2695000;28-05-2015;Alm. Salg;177300;40;Villa;1520;19700;-40;9000;9971004;57036333
Carsten Hauchs Vej 13;9000 Aalborg;1100000;27-01-2015;Alm. Salg;88000;50;Villa;1250;19470;-20;9000;996868;5703706
Christiansgade 17, 1;9000 Aalborg;1675000;08-04-2015;Alm. Salg;145650;40;Lejlighed;1150;18900;-30;9000;9917203;57044853
Christiansgade 24, ST;9000 Aalborg;1100000;21-06-2015;Alm. Salg;192980;20;Lejlighed;570;18980;-20;9000;9916895;57044836
Christiansgade 48, ST. TV;9000 Aalborg;1245000;21-05-2015;Alm. Salg;239420;20;Lejlighed;520;18980;0;9000;9918981;57044095
Christiansgade 53, 3. MF;9000 Aalborg;1465000;16-12-2015;Alm. Salg;212310;20;Lejlighed;690;19810;-10;9000;9919691;57044197
Christiansgade 56, 2;9000 Aalborg;1385000;25-03-2015;Alm. Salg;206710;20;Lejlighed;670;19020;-10;9000;9919883;57044019
Christiansgade 60, ST;9000 Aalborg;968000;11-09-2015;Alm. Salg;156120;20;Lejlighed;620;19020;0;9000;9920582;57043963
Christiansgade 9, ST;9000 Aalborg;930000;11-12-2015;Alm. Salg;143070;20;Lejlighed;650;19000;0;9000;9916848;57045157
Corfitzvej 2;9000 Aalborg;2695000;19-05-2015;Alm. Salg;242790;40;Villa;1110;19780;-40;9000;9871616;5703241
Corfitzvej 7;9000 Aalborg;2850000;22-05-2015;Alm. Salg;222650;40;Villa;1280;19650;0;9000;9870358;57032833
Dalgasgade 13, 1. TH;9000 Aalborg;1200000;09-11-2015;Alm. Salg;226410;20;Lejlighed;530;19000;0;9000;9913621;5705019
Danmarksgade 15, 1;9000 Aalborg;1415000;17-06-2015;Alm. Salg;170480;30;Lejlighed;830;19160;-50;9000;9918011;57045693
Danmarksgade 27A, 2;9000 Aalborg;3398000;29-05-2015;Alm. Salg;167380;60;Lejlighed;2030;18990;-30;9000;9921812;57045182
Danmarksgade 4, 1. TV;9000 Aalborg;2312500;30-06-2015;Alm. Salg;222350;30;Lejlighed;1040;19350;-40;9000;9916045;57045866
Danmarksgade 4, 2. TV;9000 Aalborg;2205000;09-05-2015;Alm. Salg;212010;40;Lejlighed;1040;19350;-40;9000;9916045;57045866
Danmarksgade 5E, 2. TV;9000 Aalborg;1895000;12-01-2015;Alm. Salg;159240;40;Lejlighed;1190;18900;0;9000;9916666;57045986
Danmarksgade 68, 1;9000 Aalborg;1505000;11-11-2015;Alm. Salg;231530;30;Lejlighed;650;19870;-10;9000;9923179;57045062
Danmarksgade 69A, 2. TV;9000 Aalborg;990000;04-05-2015;Fam. Salg;167790;20;Lejlighed;590;19120;0;9000;9927572;57045454
Danmarksgade 69A, 3. TV;9000 Aalborg;950000;26-06-2015;Alm. Salg;161010;20;Lejlighed;590;19120;-50;9000;9927572;57045454
Danmarksgade 69B, 1;9000 Aalborg;1225000;16-02-2015;Alm. Salg;149390;20;Lejlighed;820;19120;-50;9000;9927734;57045464
Danmarksgade 77, ST. TV;9000 Aalborg;1180000;25-05-2015;Alm. Salg;157330;20;Lejlighed;750;18960;-30;9000;9928672;57045519
Danmarksgade 80, 4;9000 Aalborg;2250000;14-09-2015;Alm. Salg;178570;40;Lejlighed;1260;19030;-20;9000;9926298;57045226
Danmarksgade 82, ST. TH;9000 Aalborg;1205000;26-01-2015;Alm. Salg;150620;30;Lejlighed;800;18960;-30;9000;9926591;57045243
Danmarksgade 96, 1. TH;9000 Aalborg;1275000;11-09-2015;Alm. Salg;159370;30;Lejlighed;800;18980;0;9000;9928694;57045363
Dannebrogsgade 25, 3. TH;9000 Aalborg;1395000;22-09-2015;Alm. Salg;236440;30;Lejlighed;590;18980;0;9000;9904102;57051818
Davids Alle 24;9000 Aalborg;1086000;01-11-2015;Alm. Salg;102450;40;Villa;1060;19100;0;9000;9914361;57031082
Deltavej 14;9000 Aalborg;3495000;20-10-2015;Alm. Salg;224030;60;Villa;1560;19900;0;9000;9869458;57046351
Deltavej 8;9000 Aalborg;3625000;27-05-2015;Alm. Salg;194890;70;Villa;1860;19940;-50;9000;9870915;57045584
Druevej 12;9000 Aalborg;3900000;15-04-2015;Alm. Salg;213110;60;Villa;1830;19740;-20;9000;9878076;57043286
Duebraadrevej 15;9000 Aalborg;3600000;24-03-2015;Alm. Salg;163630;70;Villa;2200;19340;-50;9000;9905293;57044557
Duevej 12;9000 Aalborg;2775000;30-11-2015;Alm. Salg;179030;70;Villa;1550;19480;0;9000;9934568;57030593
Dybbaalgade 12, 3. TH;9000 Aalborg;586500;22-11-2015;Fam. Salg;101120;20;Lejlighed;580;19400;0;9000;9907014;57051901
Dybbaalgade 5, 4. TH;9000 Aalborg;940000;20-02-2015;Alm. Salg;170900;20;Lejlighed;550;19380;-10;9000;9906623;57051738
Dybbaalgade 7, ST. TV;9000 Aalborg;1110000;18-05-2015;Alm. Salg;185000;20;Lejlighed;600;19380;30;9000;9906654;57051832
Eckersbergsvej 20;9000 Aalborg;1775000;20-09-2015;Alm. Salg;188820;40;Raekkehus;940;19520;0;9000;9963302;5704673
Eckersbergsvej 4;9000 Aalborg;2500000;09-09-2015;Alm. Salg;204910;50;Raekkehus;1220;19520;0;9000;9962054;57047178
Edgar Funchs Vej 16;9000 Aalborg;4750000;23-03-2015;Alm. Salg;260980;50;Villa;1820;20070;-50;9000;9863503;57027746
Egholmsgade 2, 2. TH;9000 Aalborg;690000;25-03-2015;Alm. Salg;153330;10;Lejlighed;450;19000;-10;9000;9916278;57051541
Egholmsgade 2, 4. MF;9000 Aalborg;1650000;04-05-2015;Alm. Salg;170100;40;Lejlighed;970;19000;-30;9000;9916278;57051541
Egholmsgade 4, 1. TH;9000 Aalborg;860000;10-06-2015;Alm. Salg;191110;20;Lejlighed;450;18980;-20;9000;991633;57051657
Enggaardsgade 4;9000 Aalborg;2300000;24-09-2015;Alm. Salg;221150;40;Villa;1040;19250;-40;9000;9916151;57032186
Estlandsgade 1, 3. MF;9000 Aalborg;1315250;22-09-2015;Alm. Salg;215610;20;Lejlighed;610;20050;-30;9000;9944064;5704557
Estlandsgade 1, ST. TH;9000 Aalborg;1200000;19-11-2015;Alm. Salg;200000;20;Lejlighed;600;20050;-40;9000;9944064;5704557
Estlandsgade 11, 3. MF;9000 Aalborg;1000000;20-07-2015;Alm. Salg;212760;20;Lejlighed;470;20050;-20;9000;9944002;57046094
Estlandsgade 9, 3. MF;9000 Aalborg;999000;07-12-2015;Alm. Salg;212550;20;Lejlighed;470;20050;0;9000;9944026;57045954
Estlandsgade 9, 4. MF;9000 Aalborg;999000;07-12-2015;Alm. Salg;212550;20;Lejlighed;470;20050;0;9000;9944026;57045954
Estlandsgade 9, 4. TV;9000 Aalborg;870000;01-05-2015;Alm. Salg;185100;20;Lejlighed;470;20050;0;9000;9944026;57045954
Europa Plads 4A, 2. TH;9000 Aalborg;1145000;17-03-2015;Alm. Salg;161260;20;Lejlighed;710;19320;-40;9000;9912182;57043928
Faeraagade 59, 4. TH;9000 Aalborg;1220001;11-09-2015;Alm. Salg;182080;20;Lejlighed;670;19440;20;9000;9938968;57041788
Falstersgade 21, 2. TH;9000 Aalborg;1265000;27-05-2015;Alm. Salg;178160;20;Lejlighed;710;19200;0;9000;9945198;57042567
Falstersgade 21, ST. TH;9000 Aalborg;1525000;09-10-2015;Alm. Salg;208900;30;Lejlighed;730;19200;0;9000;9945198;57042567
Falstersgade 27, 2. TV;9000 Aalborg;1465000;12-08-2015;Alm. Salg;203470;30;Lejlighed;720;19200;-20;9000;9945774;5704228
Falstersgade 46, 2. TH;9000 Aalborg;903750;19-08-2015;Alm. Salg;161380;20;Lejlighed;560;19320;-40;9000;9945634;57042086
Fasanvej 6;9000 Aalborg;4000000;19-05-2015;Alm. Salg;206180;60;Villa;1940;19350;-50;9000;9931299;57028372
Ferskenvej 6;9000 Aalborg;600000;25-11-2015;Alm. Salg;42250;50;Villa;1420;19740;0;9000;9862481;57037989
Filippavej 33;9000 Aalborg;2395000;21-04-2015;Alm. Salg;196310;40;Raekkehus;1220;19820;0;9000;9862917;57041351
Filstedvej 145;9000 Aalborg;2650000;18-08-2015;Alm. Salg;145600;40;Villa;1820;19850;-50;9000;9964839;57034852
Finlandsgade 2, 2. TH;9000 Aalborg;1080000;03-02-2015;Alm. Salg;166150;20;Lejlighed;650;19260;-20;9000;9944791;5704517
Finlandsgade 4, 3. TH;9000 Aalborg;1200000;11-08-2015;Alm. Salg;153840;30;Lejlighed;780;19260;-40;9000;9944832;57045066
Finlandsgade 6, 1. TV;9000 Aalborg;1230000;05-03-2015;Alm. Salg;170830;30;Lejlighed;720;19260;-10;9000;9944887;57044926
Flintevej 25;9000 Aalborg;2400000;30-08-2015;Alm. Salg;181810;40;Raekkehus;1320;19700;-40;9000;9873481;57041934
Fredericiagade 13E, ST;9000 Aalborg;1470000;18-05-2015;Alm. Salg;196000;20;Lejlighed;750;19890;-20;9000;9905426;57051243
Fredericiagade 15E;9000 Aalborg;1445000;10-10-2015;Alm. Salg;185250;20;Lejlighed;780;19890;0;9000;9904917;57051054
Fredericiagade 6, ST. TV;9000 Aalborg;1330000;22-02-2015;Alm. Salg;158330;30;Lejlighed;840;19400;-10;9000;9906912;57051367
Frejasgade 6;9000 Aalborg;1600000;01-12-2015;Andet;113470;70;Villa;1410;19570;0;9000;9951539;57037665
Frejasgade 8;9000 Aalborg;1600000;08-12-2015;Andet;133330;30;Villa;1200;19040;0;9000;9951267;57037597
Fuglevaenget 8;9000 Aalborg;7375000;25-09-2015;Alm. Salg;368750;60;Villa;2000;19270;0;9000;989542;57045701
Fyrrebakken 12, 1;9000 Aalborg;2850000;14-09-2015;Alm. Salg;208020;60;Lejlighed;1370;19590;60;9000;9886173;57039326
Fyrrebakken 16, ST. TH;9000 Aalborg;1448000;03-06-2015;Alm. Salg;195670;30;Lejlighed;740;19590;-30;9000;9886609;57039249
Fyrrebakken 20, ST. TH;9000 Aalborg;1270000;24-08-2015;Alm. Salg;222800;20;Lejlighed;570;19590;-20;9000;9887021;57039176
Fyrrebakken 4, 2;9000 Aalborg;2750000;22-10-2015;Alm. Salg;275000;30;Lejlighed;1000;19590;0;9000;9886867;57039693
Gammel Gugvej 23A;9000 Aalborg;2050000;11-12-2015;Andet;119180;50;Villa;1720;19540;0;9000;9929022;57030366
Gammel Kaervej 10;9000 Aalborg;4000000;02-09-2015;Alm. Salg;190470;70;Villa;2100;19010;-50;9000;9912471;57041219
Gammel Strandvej 5, 2. TV;9000 Aalborg;1290000;27-11-2015;Alm. Salg;201560;20;Lejlighed;640;19390;-40;9000;9916337;57052114
Gammel Strandvej 7, 2. TH;9000 Aalborg;1390000;01-05-2015;Alm. Salg;173750;30;Lejlighed;800;19390;0;9000;9916119;57052168
Geskevej 7;9000 Aalborg;2735000;19-10-2015;Alm. Salg;140250;70;Villa;1950;19580;-10;9000;9874518;57039817
Glentevej 29;9000 Aalborg;1595000;26-05-2015;Alm. Salg;166140;40;Raekkehus;960;19620;0;9000;9929662;57027693
